I love; ; ;I like; ; ;I don't like; ; ;I hate; ; ;
ID;artist;name;ID;artist;name;ID;artist;name;ID;artist;name
8075587;Frankie Knuckles;The Whistle Song;8011850;Bruno Mars;Just the Way You Are;2305654;Joe Cocker;We Are The World (Live);529776831;Les années 90;Tu m'oublieras
62724015;Bruno Mars;Locked Out of Heaven;780465;Eric Clapton;Riding with the King;568120962;Queen;Killer Queen;513488622;Les années 90;Alice ça glisse
1168756;B.B. King;The Thrill Is Gone;5871511;B.B. King;Recession Blues;7868662;Queen;The Show Must Go On (Remastered 2011);16765811;Royal Scottish National Orchestra;II. Melankolia (Melancholy)
16702392;B.B. King;Gambler's Blues (Live At The International Club, Chicago/1966);12209331;Queen;Don't Stop Me Now (Remastered);1103111;Amy Winehouse;He Can Only Hold Her;200128;Various Artists;Chant himba
16702367;B.B. King;Lucille;568120932;Queen;Somebody To Love;1103108;Amy Winehouse;Tears Dry On Their Own;72139389;Willem Breuker;Mr. M.A.De R.In A
9997018;Queen;Bohemian Rhapsody (Remastered 2011);2630766;Amy Winehouse;Valerie (Live At BBC Radio 1 Live Lounge, London / 2007);393460712;Avicii;Lonely Together;109786870;Tim Berne;Geez (Berne)(For Craig)
12206946;Queen;Another One Bites The Dust (Remastered 2011);70266756;Avicii;Wake Me Up;393460732;Avicii;Without You;396634882;Oddjob;Pics & l’hirondelle
12206933;Queen;We Will Rock You (Remastered);137304096;Les années 90;Mr Saxobeat;92734440;Mark Ronson;I Can't Lose;799575;Pierre-Laurent Aimard;Traditional : Yangisa
7868651;Queen;I Want To Break Free (Remastered 2011);118604304;Les années 90;Eins Zwei Polizei;529776871;Les années 90;Suzette;92487480;Jakob Dietrich;Zäuerli with Schelleschötte (Ringing the Cow Bells)
1103106;Amy Winehouse;Back To Black;529776861;Les années 90;Pour que tu m'aimes encore;55434611;Les Double Six;Meet Benny Bailey (Au Bout Du Fil);139301695;Awa Poulo;Dimo Yaou Tata
1103102;Amy Winehouse;Rehab;118604308;Les années 90;What Is Love;67035154;London Symphony Orchestra;Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat;70218255;Tim Hecker;Aerial Silver
71238363;Amy Winehouse;You Know I'm No Good;62166958;Shola Ama;You're the One I Love (2012 Collection Remaster);124197706;Death Grips;Hot Head;73522931;Sleepytime Gorilla Museum;The Putrid Refrain
1103107;Amy Winehouse;Love Is A Losing Game;3125472;Bill Bruford;One Of A Kind - Part One;75886504;André Minvielle;Madame Mimi (Blumdido);17696389;Luciano Berio;Visage
70266759;Avicii;Addicted To You;12015035;Alan Lomax;No More, My Lawd;95108184;Philippe Jaroussky;Varèse: Un grand sommeil noir;6183472;Karlheinz Stockhausen;Gesang Der Juenglinge
