I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
3125472	Bill Bruford	One Of A Kind - Part One	55434611	Les Double Six	Meet Benny Bailey (Au Bout Du Fil)	16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)	200128	Various Artists	Chant himba
3489376	Horace Silver Quintet	The Cape Verdean Blues	12015035	Alan Lomax	No More, My Lawd	396634882	Oddjob	Pics & l’hirondelle	72139389	Willem Breuker	Mr. M.A.De R.In A
90389689	Bugge Wesseltoft	Dreaming	67035154	London Symphony Orchestra	Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat	3130696	Lords of the Underground	Here Come The Lords (Explicit)	124197706	Death Grips	Hot Head
751553	Don Ellis	Niner Two (Live At Montreux)	6750126	Jean-Christophe Maillard	Branle de village sur le 8ème ton	799575	Pierre-Laurent Aimard	Traditional : Yangisa	109786870	Tim Berne	Geez (Berne)(For Craig)
858671	Jaco Pastorius	Come On, Come Over	102811476	James Brown	Mother Popcorn (Single Version)	12677533	Men From The Niutao Community	Aliamu Ma Ana Mea Tufuga (Aliamu and His Tools)	92487480	Jakob Dietrich	Zäuerli with Schelleschötte (Ringing the Cow Bells)
17524173	Aka Moon	For drummers only	3090919	Horace Silver	The Cape Verdean Blues (Remastered)	139301695	Awa Poulo	Dimo Yaou Tata	70218255	Tim Hecker	Aerial Silver
5593819	Dayton	Krackity-Krack (Remastered)	95108184	Philippe Jaroussky	Varèse: Un grand sommeil noir	2269650	Tony Williams	There Comes A Time	430154832	Lilli und Lars	A Ram Sam Sam
351958571	Sélébéyone	Are You in Peace	70274599	Ali Farka Toure	Sabu Yerkoy	9592203	"David ""Fuze"" Fiuczynski"	Moonring Bacchanal	73522931	Sleepytime Gorilla Museum	The Putrid Refrain
95547444	Dan Deacon	Sheathed Wings	1685672	Students' Orchestra Of The Moscow Conservatory	Liadov: Baba-Yaga	75886504	André Minvielle	Madame Mimi (Blumdido)	13533692	Botch	To Our Friends in the Great White North (Demo)
 	 	 	47326511	Arvo Pärt	I. Ludus	414426462	The Residents	This is a Man's Man's Man's World	70978510	Naked City	Osaka Bondage
 	 	 	130379666	Deru	Echoes of Me	85900431	Aphex Twin	CIRCLONT14 [152.97][shrymoming mix]	17696389	Luciano Berio	Visage
 	 	 	106706224	Glenn Gould	Contrapunctus III (Remastered)	3914343	Kronos Quartet	Forbidden Fruit	6183472	Karlheinz Stockhausen	Gesang Der Juenglinge
 	 	 	797834	Laurent de Wilde	Jungle Hard Bop	3386380	Artemis Quartet	String Quartet No 2: Come un meccanismo di precisione	429108162	Paul Bley	Speak Easy
 	 	 	427341552	New York Philharmonic Orchestra	Symphony No. 9 in D Minor, WAB 109: II. Scherzo. Bewegt, lebhaft. Trio. Schnell (Live)	65802269	Meredith Monk	Dusk	121437780	Octurn	Lhasa
 	 	 	2457779	Primus	Tommy The Cat (Album Version)	366003431	Ravi Shankar	Spring	76145749	The Thewaprasit Ensemble	Pleng Sen Lao Na
 	 	 	429941542	Magic Malik	XP-Contrepoint mécanique à six voix	1735890	Skip James	Devil Got My Woman	73467980	Maalim Abdi	Natamani uwa [ua]
 	 	 	12156755	Steve Lehman	Digital Ambush	123672654	Bob Log III	Guitar Party Power	115068454	Ikuta Ryu	Kojo No Tsuki
 	 	 	426733542	Jakob Bro	Full Moon Europa	63419829	Abe Schwartz	Sher Pt.2	105522282	Glenn Branca	Symphony #3: 2nd Movement (Excerpt)
 	 	 	81882102	Mark Guiliana	A Quote Machine	1739106	James Chance & The Contortions	Contort Yourself	3647677	Harry Partch	The Street
 	 	 	77055099	Matthew Curtis	Kyrie (La Messe de Notre Dame) - Balanced Voices	79088196	Hawk House	My Mind Is The Weapon (Topic 1)	7314318	Le Mystère Des Voix Bulgares	Zableyalo Mi Agantze (Album Version)
 	 	 	1499310	Golden Gate Jubilee Quartet	Preacher And The Bear	 	 	 	 	 	 
 	 	 	201066	Carmen Miranda	Alô, Alô	 	 	 	 	 	 
 	 	 	131545124	Lord Invader	Out the Fire	 	 	 	 	 	 
 	 	 	80674522	Boban Markovic	Izvorski biseri	 	 	 	 	 	 
 	 	 	3133915	Orchestre National de Barbès	Alaoui (live)	 	 	 	 	 	 
 	 	 	83947151	Totó La Momposina	Chí Chí Maní	 	 	 	 	 	 
 	 	 	4655700	Don Cherry	Mahakali	 	 	 	 	 	 
 	 	 	130863564	Supersilent	6.5	 	 	 	 	 	 
