I love, , ,I like, , ,'I don''t like', , ,I hate, , ,
ID,artist,name,ID,artist,name,ID,artist,name,ID,artist,name,
9976746,Paille,Révé,633377712,Drake,Lust For Life,124197706,Death Grips,Hot Head,16765811,Royal Scottish National Orchestra,II. Melankolia (Melancholy),
6414665,Gyptian,Hold You [Hold Yuh],633377732,Drake,Successful,109786870,Tim Berne,Geez (Berne)(For Craig),92487480,Jakob Dietrich,Zäuerli with Schelleschötte (Ringing the Cow Bells),
78479885,Gyptian,Wine Slow,633377752,Drake,November 18th,70218255,Tim Hecker,Aerial Silver,85900431,Aphex Twin,CIRCLONT14 [152.97][shrymoming mix],
91018983,Spice,Conjugal Visit (feat. Vybz Kartel),633377772,Drake,A Night Off,64213891,Manu Le Malin,On the Way Home,73522931,Sleepytime Gorilla Museum,The Putrid Refrain,
529581431,Popcaan,Wine For Me,633377802,Drake,Best I Ever Had,6750126,Jean-Christophe Maillard,Branle de village sur le 8ème ton,17696389,Luciano Berio,Visage,
352815021,Warped,Papiyon,502640312,Various Artists,Boss Shatta,799575,Pierre-Laurent Aimard,Traditional : Yangisa,6183472,Karlheinz Stockhausen,Gesang Der Juenglinge,
6738344,E.sy Kennenga,Love adan tchè mwen,471061842,Were-vana,Lélé,430154832,Lilli und Lars,A Ram Sam Sam,121437780,Octurn,Lhasa,
6738342,E.sy Kennenga,Pa pè,81980250,Debrouya,Bwè & fimé,3386380,Artemis Quartet,String Quartet No 2: Come un meccanismo di precisione, , , ,
137600819,Harmonik,Incroyable,138538001,T Kimp Gee,La belle et la bête,13533692,Botch,To Our Friends in the Great White North (Demo), , , ,
6869383,Stevy Mahy,Beautiful,404520672,Keros-n,Fanm gwadeloup,6374932,Daniel Johnston,I Had Lost My Mind, , , ,
141541011,Miki Dèbrouya,Chanjé,438124722,E.sy Kennenga,Dékolaj imédia,123672654,Bob Log III,Guitar Party Power, , , ,
64651529,Stevy Mahy,Beautiful,504952962,Kevni,Olaleyley,676476332,Lightning Bolt,Dracula Mountain, , , ,
414838232,Orelsan,Notes pour trop tard (feat. Ibeyi),632386672,Silverman,'Telman dous''',65802269,Meredith Monk,Dusk, , , ,
112342316,Orelsan,J’essaye j’essaye,605244342,Paille,Man on fire,3647677,Harry Partch,The Street,, , , 
