I love, , ,I like, , ,'I don''t like', , ,I hate, , 
ID,artist,name,ID,artist,name,ID,artist,name,ID,artist,name
824985,Opeth,Hessian Peel,507421592,Beyond The Black,Heart of the Hurricane,745193092,Sonata Arctica,Message from the Sun,546875672,Angèle,Flou
634812242,Belzebubs,Cathedrals of Mourning,138790507,Shining,Claws of Perdition,697409632,Metronomy,Whitsand Bay,745229982,Niska,Méchant
5638730,Opeth,The Leper Affinity,117820066,Danimal Cannon,Synergy (feat. Paul Wardingham  Tony Dickinson & Shnabubula),520937872,Rise Of The Northstar,Here Comes The Boom,701987322,Jul,JCVD
419897392,Fallujah,Venom Upon the Blade,549198,Opeth,Hope Leaves,793796,Claude François,Alexandrie Alexandra,737967282,Taylor Swift,I Forgot That You Existed
103093982,Animals as Leaders,Tempting Time,544087372,The Ocean,Ordovicium: The Glaciation of Gondwana,1157468,The Cranberries,Ode To My Family,542802312,BTS,Euphoria
6612756,Death,Crystal Mountain,79978972,Mastodon,The Motherload,3136389,MC Hammer,'U Can''t Touch This',743799932,Christophe Maé,Les gens
120731488,Children of Bodom,Children Of Bodom,745193112,Sonata Arctica,Cold,406815322,Bee Gees,'Stayin'' Alive',698843302,Vitaa,Ça va ça vient
645364732,Children of Bodom,Follow The Reaper,491204922,Parkway Drive,The Void,475334042,The Beatles,Yellow Submarine,659688382,Maître Gims,Hola Señorita
671026482,Beyond The Black,Hallelujah,87544881,Slipknot,Vermilion,1016725,Céline Dion,Where Does My Heart Beat Now,727056202,Salatiel,Anita
142339823,Emperor,Al Svartr (The Oath),643420882,Flogging Molly,Drunken Lullabies,15391618,Britney Spears,Toxic,83844536,Ariana Grande,One Last Time
142339831,Emperor,The Loss & Curse Of Reverence,81739290,Alestorm,Death Throes of the Terrorsquid,4091855,Seal,Knock on Wood,576851222,Aya Nakamura,Djadja
141827149,Emperor,The Eruption,105351584,Ghost,From The Pinnacle To The Pit,91018661,Louane,Jour 1,62376331,Nicki Minaj,High School
391301522,Widek,Satellite (feat. Owane & Paul Wardingham),2846043,Adagio,Fear Circus,14299589,Coldplay,Paradise,139470659,Ed Sheeran,Shape of You
2846043,Adagio,Fear Circus,5094404,ZZ Top,Sharp Dressed Man,63510358,Imagine Dragons,Radioactive,701054752,Vegedream,Personne
721518122,Symphony X,Set the World on Fire (The Lie of Lies),740669,Wintersun,Death And The Healing,843479522,Maroon 5,Sunday Morning,696949862,Tayc,Aloviou
399507342,ProtoShredanoid,Beneath Europa,92720036,AC/DC,Hells Bells,3148168,Lily Allen,Fuck You,98356864,Kendji Girac,Andalouse
135869070,Animals as Leaders,Ectogenesis,2114400,Metallica,Sad But True,347363311,U2,With Or Without You,1090312,Claude François,'Comme d''habitude'
745193122,Sonata Arctica,Storm the Armada,3089054,Megadeth,Tornado Of Souls (Remastered 2004),70548334,Chris Isaak,Wicked Game,17099424,Il était une fois,'J''ai encore rêvé d''elle'
3158428,Iron Maiden,2 Minutes to Midnight (1998 Remaster),6278220,Avenged Sevenfold,Afterlife,138548045,Radiohead,Creep,6776987,Colonel Reyel,Celui
3784806,Dream Theater,A Nightmare to Remember,97098418,Van Halen,Hot for Teacher (2015 Remaster),3087241,Green Day,21 Guns,13529565,Rihanna,Man Down (Album Version)
