I love  I like  I hate  I don't like
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name	
4195713	Muse	Uprising	78671026	Led Zeppelin	Whole Lotta Love (2012 Remaster)	460301782	No One Is Innocent	Hold-up au nom du peuple	514414682	Yarol	Boogie With You	
3732426	Simon & Garfunkel	Mrs. Robinson	7818900	The Rolling Stones	Paint It  Black	483885752	Trust	'L''exterminateur'	402757482	Indochine	Un été français	
3731614	Simon & Garfunkel	The Sounds of Silence	563916262	Matmatah	Retour à la normale (Single Version)	485565562	Minuit	Blondie	5638564	F.F.F.	Barbès	
2203492	Noir Désir	'L''homme pressé (Album Version)'	984398	Saez	Jeune et con	460301742	No One Is Innocent	Ali (King of the Ring)	365935071	Jacques Higelin	Paris - New York  New York – Paris	
2925713	Trust	Antisocial	404076512	Shaka Ponk	Wrong Side	546449722	Grand Blanc	Dans la peau	497191492	Delgres	Mo Jodi	
2270687	Niagara	'J''ai vu'	16088815	Skip the Use	Bastard Song	365809271	F.F.F.	Monkee	510266482	Miximetry	Des mots	
4735853	Dolly	'Je n''veux pas rester sage'	7275388	Izia	Back In Town	794811	Les Fatals Picards	Partenaire particulier	921901	Alain Bashung	La nuit je mens	
3610940	Daran et Les Chaises	Dormir dehors	72573855	Detroit	Le Creux De Ta Main	422001062	Catherine Ringer	Como Va	896809	La Ruda Salska	Histoires improbables	
3135726	Téléphone	Un autre monde	17143858	Matmatah	Lambé An Dro	 	 	 	87173571	Alain Bashung	Fantaisie militaire	
355182901	Les Rita Mitsouko	'Les Histoires d''A.'	370626691	Mano Negra	Soledad	 	 	 	550274972	Radio Elvis	Fini fini fini	
66675153	M	Matchistador	524850842	Bast	Franco	 	 	 	 	 	 	
60847286	BB Brunes	Coups et blessures	467806932	Metro Verlaine	Manchester	 	 	 	 	 	 	
74971698	Claude Nougaro	Nougayork	85986305	Noir Désir	Un jour en France	 	 	 	 	 	 	
90728577	Bernard Lavilliers	Idées noires	114493698	Mademoiselle K	Ça me vexe	 	 	 	 	 	 	
2640449	Catherine Ringer	Marcia Baila (Live)	2177262	Axel Bauer	Eteins la lumière	 	 	 	 	 	 	
2640437	Catherine Ringer	Ding Dang Dong (Ringing At Your Bell) (Live)	410424962	La Jarry	Babylone	 	 	 	 	 	 	
2640448	Catherine Ringer	Andy (Live)	3125361	Mano Negra	Indios de Barcelona	 	 	 	 	 	 	
598721	Luke	La sentinelle	60847293	BB Brunes	Aficionado	 	 	 	 	 	 	
523332	Pigalle	Dans la salle du bar-tabac de la rue des Martyrs	2640444	Catherine Ringer	'Les Histoires D''a (Live)'	 	 	 	 	 	 	
 	 	 	90446999	Cyclope	'L''hymne à l''amour'	 	 	 	 	 	 	
 	 	 	2541362	François Hadji-Lazaro	Dans La Salle Du Bar Tabac De La Rue Des Martyrs	 	 	 	 	 	 	
 	 	 	97803716	Cyclope	Wen Story (Live Nairobi - Kenya)	 	 	 	 	 	 	
 	 	 	2538767	Gamine	Voilà Les Anges (Album Version)	 	 	 	 	 	 	
 	 	 	2925713	Trust	Antisocial	 	 	 	 	 	 	
