I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
434270902	Hush & Sleep	Ascendance (Original Mix)	506646062	Wigbert	My Music	113539742	Stephan Bodzin	Powers of Ten (Maceo Plex & Shall Ocin Remix)	553122012	Sophia Somajo	Diamond Heart
534998312	Jay Lumen	Trust (Original Mix)	547881912	Hush & Sleep	Disconsolate (Original Mix)	94493910	Truncate	Bipolar	477966682	Mark Knight	In The Other Pocket
539426012	Milo Spykers	Infinite	512716492	Alan Fitzpatrick	System Addict	460396762	Charlotte De Witte	Brussels	509041232	Adam Beyer	Your Mind
554711222	Coyu	The Last Generation (Coyu Raw Mix)	73621385	Pig & Dan	The Sudden Rush	479830172	Daniel Avery	Clear	425883832	тпсб	Are You Still Hurt
505741602	Thomas Schumacher	Embody	506575492	Enrico Sangiuliano	Multicellular	483903202	Solanca	Great Belt	454889782	Hodge	Beneath Two Moons
534550782	Umek	Collision Wall (Original Mix)	437785492	ANNA	Hidden Beauties	546134502	Artbat	Papillon (Original Mix)	412359792	Honey Dijon	808 State Of Mind (feat. Shaun J. Wright & Alinka)
460396772	Charlotte De Witte	Control	418122532	Christian Smith	Wind (Original Mix)	460340292	Adriatique	Voices From The Dawn	405060402	Burial	Rodent
96646586	Luigi Madonna	Back to School	449995482	2Pole	Injection (Original Mix)	3125472	Bill Bruford	One Of A Kind - Part One	501981232	Andrew Meller	Born Slippy (Reincarnation Edit)
512627852	J Swink	Norepi (Original Mix)	506575522	Enrico Sangiuliano	Hidden T	75886504	André Minvielle	Madame Mimi (Blumdido)	534719132	Youandewan	Ideal-Passage
434258582	Shlomi Aber	Exponent	484677592	Shlomi Aber	Eimeon (Original Mix)	95108184	Philippe Jaroussky	Varèse: Un grand sommeil noir	541324432	Analog Sol	Trinidad Dreams
519352592	Wehbba	Process	509043682	2Pole	Alone	414426462	The Residents	This is a Man's Man's Man's World	94848760	Brodinski	François-Xavier (feat. Young Scooter)
420675672	Amelie Lens	Stay With Me	96646590	Luigi Madonna	Why Not	1685672	Students' Orchestra Of The Moscow Conservatory	Liadov: Baba-Yaga	73538607	Teets	Steffen
123672654	Bob Log III	Guitar Party Power	517381132	Spektre	Carnival of Souls (Original Mix)	751553	Don Ellis	Niner Two (Live At Montreux)	67104078	Carl Craig	They Were
3133915	Orchestre National de Barbès	Alaoui (live)	531778881	Veerus	Heavy	47326511	Arvo Pärt	I. Ludus	12015035	Alan Lomax	No More, My Lawd
 	 	 	520103692	Pig & Dan	Shattered Minds	130379666	Deru	Echoes of Me	16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)
 	 	 	55434611	Les Double Six	Meet Benny Bailey (Au Bout Du Fil)	858671	Jaco Pastorius	Come On, Come Over	67035154	London Symphony Orchestra	Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat
 	 	 	72139389	Willem Breuker	Mr. M.A.De R.In A	797834	Laurent de Wilde	Jungle Hard Bop	6750126	Jean-Christophe Maillard	Branle de village sur le 8ème ton
 	 	 	109786870	Tim Berne	Geez (Berne)(For Craig)	70978510	Naked City	Osaka Bondage	200128	Various Artists	Chant himba
 	 	 	102811476	James Brown	Mother Popcorn (Single Version)	17696389	Luciano Berio	Visage	124197706	Death Grips	Hot Head
 	 	 	9592203	"David ""Fuze"" Fiuczynski"	Moonring Bacchanal	6183472	Karlheinz Stockhausen	Gesang Der Juenglinge	396634882	Oddjob	Pics & l’hirondelle
 	 	 	430154832	Lilli und Lars	A Ram Sam Sam	426733542	Jakob Bro	Full Moon Europa	799575	Pierre-Laurent Aimard	Traditional : Yangisa
