I love, , ,I like, , ,I don't like, , ,I hate, , ,,
ID,artist,name,ID,artist,name,ID,artist,name,ID,artist,name,,
120974102,Polyphia,Euphoria,857488222,Hyukoh,Help,862234492,Louis Tomlinson,Kill My Mind,862051992,Dua Lipa,Physical,,
11115917,Cradle Orchestra,Married To The Game feat. CL SMOOTH & JEAN CURLEY,75946241,Animals as Leaders,Physical Education,860771142,Victor Solf,Hero,3896792,John Zorn,Forbidden Fruit,,
807701712,Kirinji,Killer Tune Kills Me,376140481,DJ Blyatman,Slav King (feat. Life of Boris),804132872,Ayo,Rest Assured,200128,Various Artists,Chant himba,,
835726902,DJ Blyatman,Kalashnikov,563624572,DJ Blyatman,Cyka Blyat,489216552,DJ Blyatman,Tsar Bomb,85900431,Aphex Twin,CIRCLONT14 [152.97][shrymoming mix],,
135987770,Yvette Young,A Map  a String  a Light,129107338,XS Project,Bochka  Bass  Kolbaser,55434611,Les Double Six,Meet Benny Bailey (Au Bout Du Fil),3386380,Artemis Quartet,String Quartet No 2: Come un meccanismo di precisione,,
141639853,L'Impératrice,La lune,434302442,Sweet John,Those Things I Kept,16765811,Royal Scottish National Orchestra,II. Melankolia (Melancholy),17696389,Luciano Berio,Visage,,
134812518,Lucien & The Kimono Orchestra,Sp2500,119311098,Covet,Pelagic,6750126,Jean-Christophe Maillard,Branle de village sur le 8ème ton,73467980,Maalim Abdi,Natamani uwa [ua],,
347821271,Headless Heroes,Hey  Who Really Cares,542389502,Ariana Grande,God is a woman,12156755,Steve Lehman,Digital Ambush,131545124,Lord Invader,Out the Fire,,
533982272,L'Indécis,Le Sud (Original Mix),757561502,Taeko Onuki,4:00A.M.,81882102,Mark Guiliana,A Quote Machine,2439463,Carla Bley,Musique Mecanique I,,
434302412,Sweet John,Dear,359407821,boy pablo,Dance  Baby!,121437780,Octurn,Lhasa,,64213891,Manu Le Malin,,
95983334,Polyphia,Finale,378672041,Indigo La End,omoikiri,76145749,The Thewaprasit Ensemble,Pleng Sen Lao Na,,,,On the Way Home,
629899852,Ariana Grande,thank u next,751553,Don Ellis,Niner Two (Live at Montreux),366003431,Ravi Shankar,Spring,, , , ,
511490972,Covet,shibuya (feat. San Holo),47326511,Arvo Pärt,I. Ludus,115068454,Ikuta Ryu,Kojo No Tsuki, , , ,,
615081832,Yvette Young,Jolt,1499310,Golden Gate Jubilee Quartet,Preacher And The Bear,76985342,Goldie,Vanilla, , , ,,
515311412,Tricot,99.974,575892522,Luke Howard,Open,123672654,Bob Log III,Guitar Party Power, , , ,,
473334542,Melody's Echo Chamber,Quand Les Larmes D'un Ange Font Danser La Neige,887097582,Eric Lu,Chopin: 24 Préludes  Op. 28: No. 17 in A-Flat Major,95547444,Dan Deacon,Sheathed Wings, , , ,,
67035154,London Symphony Orchestra,Symphonie Fantastique  Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat,83947151,Totó La Momposina,Chí Chí Maní,7314318,Le Mystère Des Voix Bulgares,Zableyalo Mi Agantze (Album Version),,, , , 
887097572,Eric Lu,Chopin: 24 Préludes  Op. 28: No. 16 in B-Flat Minor,79088196,Hawk House,My Mind Is The Weapon (Topic 1),4655700,Don Cherry,Mahakali,, , , ,
2271252,Manolo Sanlucar,El Poeta Pide A Su Amor Que Le Escriba(Canción-Bulería) (Album Version),10236728,Austin Peralta,Capricornus,67121873,Björk,Crystalline (Matthew Herbert Remix), , , ,,
 , , ,2813599,Steps Ahead,Both Sides of the Coin,61636056,Panzerballett,Birdland, , , ,,
 , , ,6615567,Bill Frisell,One of These Days,132082546,Car Bomb,Black Blood, , , ,,
 , , ,,,,445346202,Théo Ceccaldi,Amanda Dakota, , , ,,
 , , , , , ,12480647,Lightning Bolt,Dracula Mountain, , , ,,
 , , , , , ,6374932,Daniel Johnston,I Had Lost My Mind, , , ,,
 , , , , , ,12254142,Joy Division,Atmosphere, , , ,,
 , , , , , ,65952705,Vienna Radio Symphony Orchestra, Peter Rundel & Johannes Kalitzke Quattro Pezzi (Su Una Nota Sola) - 4th Movement, , , ,,
 , , , , , ,,,,, , , ,
