I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 	
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name	
95112404	Savant	Pizza Power Alien (Original Mix)	118587156	GoGo Penguin	All Res	3125472	Bill Bruford	One Of A Kind - Part One	85576202	Alesso	Heroes (we could be)	
95112414	Savant	Basement (Original Mix)	118587158	GoGo Penguin	Unspeakable World	16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)	487316692	Tirzah	Gladly	
414838102	Orelsan	San	118587160	GoGo Penguin	Branches Break	6750126	Jean-Christophe Maillard	Branle de village sur le 8ème ton	550329432	Broken Back	Wonders	
414838172	Orelsan	Quand est-ce que ça s'arrête	118587162	GoGo Penguin	Weird Cat	200128	Various Artists	Chant himba	71645436	Katy Perry	Dark Horse	
414838192	Orelsan	Zone (feat. Nekfeu & Dizzee Rascal)	118587164	GoGo Penguin	Quiet Mind	72139389	Willem Breuker	Mr. M.A.De R.In A	124197706	Death Grips	Hot Head	
15929595	Zenzile	Deeper (Zen-mix)	118587166	GoGo Penguin	Smarra	109786870	Tim Berne	Geez (Berne)(For Craig)	799575	Pierre-Laurent Aimard	Traditional : Yangisa	
373601971	Camo & Krooked	Ember	118587168	GoGo Penguin	Initiate	396634882	Oddjob	Pics & l’hirondelle	6374932	Daniel Johnston	I Had Lost My Mind	
373602011	Camo & Krooked	Good Times Bad Times	118587170	GoGo Penguin	GBFISYSIH	12677533	Men From The Niutao Community	Aliamu Ma Ana Mea Tufuga (Aliamu and His Tools)	9056672	The Adolescents	Kids of the Blackhole	
373601991	Camo & Krooked	If I Could (feat. Joe Killington)	118587172	GoGo Penguin	Surrender To Mountain	65952705	Vienna Radio Symphony Orchestra, Peter Rundel & Johannes Kalitzke	Quattro Pezzi (Su Una Nota Sola) - 4th Movement	676476332	Lightning Bolt	Dracula Mountain	
373602061	Camo & Krooked	Mandala	118587174	GoGo Penguin	Protest	7738509	Georgette plana	La Valse Brune	132082546	Car Bomb	Black Blood	
70662165	Camo & Krooked	Move Around	10237926	Bonobo	The Fever	12254142	Joy Division	Atmosphere (2011 Total Version)	61636056	Panzerballett	Birdland	
70662166	Camo & Krooked	Faith	510731642	KIDS SEE GHOSTS	Kids See Ghosts	6615567	Bill Frisell	One of These Days	7314318	Le Mystère Des Voix Bulgares	Zableyalo Mi Agantze (Album Version)	
70662164	Camo & Krooked	All Night	536485	MGMT	Kids	125953469	Slint	Breadcrumb Trail	105522282	Glenn Branca	Symphony #3: 2nd Movement (Excerpt)	
1643321	Infected Mushroom	Becoming Insane	3147138	The Chemical Brothers	A Modern Midnight Conversation	78626974	King Oliver	Chattanooga Stomp	123672654	Bob Log III	Guitar Party Power	
78548551	Infected Mushroom	Never Mind	5351361	Breakbot	Baby I'm Yours (feat. Irfane)	2813599	Steps Ahead	Both Sides Of The Coin	131545124	Lord Invader	Out the Fire	
92261848	Infected Mushroom	Now Is Gold (feat. Kelsey Karter) (Original Mix)	3754399	Agoria	Million Miles	7577270	Vincent Dumestre	Una musiqua	76145749	The Thewaprasit Ensemble	Pleng Sen Lao Na	
373602081	Camo & Krooked	Passion	546232852	Sophie Hunger	She Makes President	4655700	Don Cherry	Mahakali	121437780	Octurn	Lhasa	
346064571	Noisia	The Entangled (Camo & Krooked Remix)	546232862	Sophie Hunger	Sliver Lane	95547444	Dan Deacon	Sheathed Wings	17696389	Luciano Berio	Visage	
456076132	Vald	Dragon	546232872	Sophie Hunger	There Is Still Pain Left	3647677	Harry Partch	The Street	6183472	Karlheinz Stockhausen	Gesang Der Juenglinge	
456076072	Vald	Désaccordé	546232882	Sophie Hunger	Tricks	3133915	Orchestre National de Barbès	Alaoui (live)	 	 	 	
449028842	Camo & Krooked	Last of the Tribe (Break Remix)	546232892	Sophie Hunger	Let It Come Down	63419829	Abe Schwartz	Sher Pt.2	 	 	 	
